lig_name,Error
52542,12.249803873237568
47821,9.499818954030616
48951,6.341539677264622
47594,5.943346539621416
49599,5.512035354363318
48083,4.765618683839792
48845,4.763810388453406
43612,4.747974687347041
43703,4.687608575970616
46892,4.400173371109018
46905,3.815399429978326
47311,3.05936362405032
43929,3.0271067353332928
47816,2.9038707264294317
49847,2.8089161190158656
46726,2.790988469014451
43289,2.744343886457896
51964,2.624818139057597
43796,2.4290227356135308
47848,2.3695353930989143
46433,2.0134569641822964
46831,1.6244280090699874
43367,1.621299986847788
46853,0.9912635859398904
49860,0.5002806719185493
48732,0.28513090032873833
